products,frequency
"(5800, 4335)",1.26%
"(7500, 4335)",1.26%
"(5802, 4124)",1.26%
"(4123, 7499)",1.26%
"(4124, 2181)",1.26%
"(7887,)",1.26%
"(6104,)",1.26%
"(4124, 7501)",1.25%
"(2144,)",1.25%
"(6489,)",1.25%
"(5800, 7084)",1.24%
"(5803, 7500)",1.24%
"(5800, 7499, 4124)",1.24%
"(7339,)",1.24%
"(5800, 7499, 7500)",1.24%
"(6203,)",1.23%
"(7082,)",1.23%
"(7128,)",1.23%
"(5803, 6533)",1.23%
"(5144,)",1.23%
"(5585,)",1.23%
"(7500, 7781)",1.23%
"(2157,)",1.23%
"(6607,)",1.23%
"(6469,)",1.23%
"(7499, 7555)",1.23%
"(2802,)",1.22%
"(3831,)",1.22%
"(7816, 4124)",1.21%
"(2020, 7500)",1.21%
"(8104,)",1.20%
"(7499, 4126)",1.19%
"(5576,)",1.19%
"(7499, 2181)",1.19%
"(3083,)",1.19%
"(2801,)",1.19%
"(5800, 7814)",1.18%
"(2154,)",1.18%
"(7762, 7499)",1.18%
"(5806,)",1.17%
"(4124, 6941)",1.17%
"(7499, 7503)",1.17%
"(4124, 7652)",1.17%
"(7499, 6941)",1.17%
"(7084, 7500)",1.16%
"(2913,)",1.16%
"(5807,)",1.16%
"(7555, 4124)",1.16%
"(6048,)",1.16%
"(4124, 7157)",1.16%
"(4123, 4126)",1.15%
"(2112, 4124)",1.15%
"(1572,)",1.15%
"(7012,)",1.15%
"(5801, 7781)",1.15%
"(4492,)",1.14%
"(5800, 5802)",1.13%
"(3700,)",1.13%
"(5801, 5803)",1.13%
"(3567,)",1.13%
"(7871,)",1.13%
"(1564,)",1.13%
"(5801, 7084)",1.12%
"(6945, 7499)",1.11%
"(5802, 7499)",1.11%
"(7816, 7500)",1.11%
"(7499, 8404)",1.11%
"(7499, 7500, 7502)",1.10%
"(7872,)",1.10%
"(8603,)",1.10%
"(4036,)",1.10%
"(7499, 8037)",1.10%
"(1519,)",1.10%
"(2713, 7652)",1.10%
"(6472,)",1.09%
"(7788, 7500)",1.08%
"(5800, 2020)",1.08%
"(4260,)",1.08%
"(1913,)",1.08%
"(6678,)",1.07%
"(8535,)",1.07%
"(3565,)",1.07%
"(7499, 7751)",1.07%
"(4124, 8406)",1.07%
"(5565,)",1.06%
"(7496,)",1.05%
"(6729,)",1.05%
"(1840, 7499)",1.05%
"(7499, 7684)",1.05%
"(4124, 7502)",1.05%
"(7231,)",1.05%
"(4138,)",1.04%
"(2807,)",1.04%
"(4862,)",1.04%
"(3516,)",1.04%
"(2989,)",1.04%
"(4459,)",1.03%
"(5801, 7814)",1.03%
"(4124, 8037)",1.02%
"(2160,)",1.02%
"(1577,)",1.02%
"(5311,)",1.01%
"(2977,)",1.01%
"(7500, 7157)",1.01%
"(5770,)",1.01%
"(1815,)",1.01%
"(7499, 3339)",1.01%
"(4123, 7781)",1.00%
"(6246,)",1.00%
"(8777,)",1.00%
"(4370,)",1.00%
"(5801, 2020)",1.00%
"(2713, 8038)",0.99%
"(7788, 7814)",0.99%
"(5801, 7499, 4124)",0.99%
"(7499, 7815)",0.99%
"(6961,)",0.99%
"(7499, 7652)",0.99%
"(5801, 7499, 7500)",0.99%
"(2107,)",0.98%
"(3755, 7246)",0.98%
"(7499, 1838)",0.98%
"(2110,)",0.98%
"(1700,)",0.98%
"(3324,)",0.98%
"(1767,)",0.98%
"(3860,)",0.98%
"(7500, 2181)",0.98%
"(7684, 4124)",0.97%
"(5800, 7788)",0.97%
"(7088, 4124)",0.97%
"(1524,)",0.97%
"(8410,)",0.97%
"(4494,)",0.97%
"(6958,)",0.97%
"(5803, 7781)",0.97%
"(8409, 7499)",0.97%
"(7340, 7660)",0.96%
"(1856,)",0.96%
"(2901,)",0.96%
"(3059,)",0.96%
"(7499, 6939)",0.96%
"(3930,)",0.96%
"(4123, 7500)",0.95%
"(7500, 8406)",0.95%
"(6939, 4124)",0.95%
"(2476,)",0.95%
"(7085,)",0.95%
"(5800, 7501)",0.95%
"(2190,)",0.95%
"(4023,)",0.95%
"(1515,)",0.95%
"(6706,)",0.94%
"(5154,)",0.94%
"(4496, 4495)",0.94%
"(2804,)",0.94%
"(4124, 1838)",0.94%
"(6945, 4124)",0.94%
"(2112, 7499)",0.94%
"(7088, 7499)",0.93%
"(5800, 8404)",0.93%
"(3318,)",0.93%
"(8770,)",0.93%
"(8394, 7499)",0.93%
"(5862,)",0.92%
"(6105,)",0.92%
"(3339, 4124)",0.92%
"(7077,)",0.92%
"(7175,)",0.92%
"(7084, 7781)",0.92%
"(7500, 7503)",0.92%
"(5057,)",0.91%
"(7396,)",0.91%
"(7499, 1677)",0.91%
"(6485,)",0.91%
"(7762, 7500)",0.91%
"(3597,)",0.91%
"(6429,)",0.91%
"(6148,)",0.91%
"(6695,)",0.91%
"(4124, 1677)",0.91%
"(5802, 7500)",0.91%
"(5800, 4126)",0.90%
"(2708,)",0.90%
"(4124, 7751)",0.90%
"(5590,)",0.90%
"(3213,)",0.90%
"(5801, 7788)",0.90%
"(5808, 6533)",0.90%
"(6767,)",0.90%
"(3159,)",0.90%
"(7170,)",0.90%
"(2068,)",0.90%
"(2910,)",0.89%
"(7555, 7500)",0.89%
"(6292,)",0.89%
"(2112, 7500)",0.89%
"(5800, 4123)",0.89%
"(5803, 7814)",0.89%
"(8263,)",0.89%
"(7524,)",0.89%
"(7499, 7159)",0.89%
"(7038,)",0.89%
"(7501, 7502)",0.88%
"(7011,)",0.88%
"(8404, 7500)",0.88%
"(1596,)",0.88%
"(2822,)",0.88%
"(7129,)",0.88%
"(7652, 8037)",0.88%
"(7873,)",0.87%
"(6640,)",0.87%
"(6939, 6941)",0.87%
"(5728,)",0.87%
"(1748,)",0.87%
"(1820,)",0.87%
"(3010, 8037)",0.87%
"(5331,)",0.87%
"(3320,)",0.87%
"(1840, 7500)",0.87%
"(7176,)",0.87%
"(5516,)",0.86%
"(7726,)",0.86%
"(1608,)",0.86%
"(7500, 4126)",0.86%
"(5801, 8404)",0.86%
"(4022,)",0.86%
"(2181, 7814)",0.86%
"(6150,)",0.85%
"(1650,)",0.85%
"(6941, 6942)",0.85%
"(2061,)",0.85%
"(6431,)",0.84%
"(7499, 4124, 7501)",0.84%
"(4118,)",0.84%
"(7579,)",0.84%
"(7499, 7790)",0.84%
"(7817, 7818)",0.84%
"(4124, 7815)",0.84%
"(7499, 7500, 4335)",0.84%
"(7781, 7814)",0.84%
"(7340, 7014)",0.84%
"(5800, 7684)",0.84%
"(5803, 7084)",0.83%
"(6647,)",0.83%
"(7816, 5800)",0.83%
"(1698,)",0.83%
"(1723,)",0.83%
"(1613,)",0.83%
"(5800, 7500, 4124)",0.83%
"(8107,)",0.83%
"(2148,)",0.83%
"(7814, 4126)",0.82%
"(1507,)",0.82%
"(7816, 7499, 7814)",0.82%
"(7709,)",0.82%
"(5266,)",0.82%
"(7126,)",0.82%
"(5800, 2181)",0.82%
"(5801, 7500, 4124)",0.82%
"(6945, 7084)",0.82%
"(6428,)",0.82%
"(2020, 7814)",0.82%
"(7493,)",0.82%
"(7736,)",0.82%
"(7177,)",0.82%
"(5281,)",0.82%
"(4451,)",0.82%
"(7500, 7815)",0.81%
"(4399,)",0.81%
"(2920,)",0.81%
"(2815,)",0.81%
"(7762, 7084)",0.81%
"(3678,)",0.81%
"(7552,)",0.81%
"(1606,)",0.81%
"(4392,)",0.81%
"(6705,)",0.81%
"(7500, 6941)",0.81%
"(5801, 4126)",0.81%
"(5809,)",0.81%
"(4120,)",0.81%
"(6567,)",0.80%
"(2887,)",0.80%
"(8409, 4124)",0.80%
"(7500, 7501, 4124)",0.80%
"(4398,)",0.80%
"(7652, 8038)",0.80%
"(6103,)",0.80%
